prcp,tmean,DEM,Silt_100cm,Clay_100cm
1346.526367,16.37133598,7.295022964,27.47823715,17.32102776
1200.789429,14.20165825,239.0513611,46.12112045,36.39550018
527.1842041,6.708460331,1740.046265,28.89999962,20.29999924
546.8157959,5.103639126,1427.104858,36.32194519,17.26198387
412.2105408,6.094862461,1171.785767,35.78824615,24.6621666
737.0789185,14.57762146,424.0012512,33.90514374,19.05160713
308.1315918,6.182691097,2444.29834,19.48971558,12.76326942
526.5,5.040384769,2357.062256,34.00018311,34.59366226
637.5263062,7.876802444,733.2518921,36.1545372,9.308579445
1152,4.610795975,1427.384277,38.13462067,8.05812645
562.1052856,13.38054085,1732.00647,18.65335274,20.2893486
1429.210571,14.79226112,256.3936768,36.18503189,42.00367355
917.5263062,11.88652611,395.9177856,53.47465515,35.74279404
537.5,6.043208122,2826.507324,21.7142334,18.60477448
359.5,8.803637505,2340.332764,31.69219589,37.98191071
490.3947449,7.314595222,2353.903564,37.16868591,24.70734596
466.2894592,12.22342205,1761.796509,34.16382217,28.19577599
1162.131592,12.51160526,2.598769188,5.591827393,4.300550938
506.9473572,5.121222973,2480.460449,38.96427917,27.21671295
975.4736938,15.71557331,270.401062,15.659688,9.329109192
760.1842041,11.90927887,2422.785156,32.91464996,41.49515915
1227.763184,17.72029114,108.2408447,24.10431671,58.78925705
1594.657837,19.34370422,28.15541649,9.489889145,13.05946255
366.2894592,12.35152435,1422.028564,35.62029266,29.63186455
580.5526123,8.27765274,2323.099609,41.47842026,34.04435349
1038.605225,16.95201874,232.1085052,49.64205551,27.56730843
401.3947449,13.54085636,1542.468262,37.48815536,33.70526505
837.7631836,7.822211266,227.2307892,45.60413361,16.80964279
315.9473572,8.90566349,2127.85791,30.54031181,15.79100037
1360.289429,19.41116905,38.06375885,51.69504166,35.98439026
702.1842041,3.951941729,406.9519043,34.28974152,15.35000038
1250.578979,18.54943657,73.33759308,42.7224617,22.14482498
1059.184204,16.40997505,277.9013977,15.01046848,16.4227314
434.6842041,4.984225273,2442.800049,29.68135834,37.07382965
1494.315796,17.94384575,104.8545532,28.84150505,41.30220413
658.5526123,6.184193611,1886.292236,40.13002777,24.64986229
1170.868408,17.58795929,163.7337341,27.52723885,52.49337769
459.6315918,7.161319256,2038.790649,37.93140793,18.02617073
1553.815796,15.24114418,327.4572449,32.76324844,27.56121826
562.6578979,17.95433807,684.3267822,42.58539963,45.72359848
1301.710571,18.96942139,5.476920128,20.80846405,28.01839828
362.2105408,12.52694607,1421.036743,36.76666641,25.82359886
1570.263184,18.75729561,17.75553322,34.13131332,21.04214859
805.3684082,16.5573616,385.1002197,39.51597977,39.7637291
624.8421021,3.018560648,2609.747559,21.60000038,14.80000019
1123.342163,12.94717693,151.5834198,59.38897324,32.12617493
1200.815796,18.50784492,80.2820282,13.01625347,20.46583939
871.8157959,18.53928375,408.9316406,42.37272644,33.08089828
927.8421021,13.42609787,418.4942322,52.3777771,42.12543488
1569.657837,20.03084183,12.64389324,5.92975235,6.068319321
1012.842102,16.13243294,293.9102173,29.55601501,26.01652908
1494.947388,15.66208839,169.8158722,42.28365326,22.25225067
1358.421021,17.01319885,5.476877213,5.770049572,6.46258688
595.4210815,17.56023788,546.3355103,23.96997261,19.96418762
1376.815796,22.6516304,20.65311241,1.188246131,2.784481049
1175.552612,13.26525974,311.0485229,40.83819962,43.90156174
2035.342163,11.82741261,112.0803757,42.91138458,35.02212906
1613.710571,19.47686386,45.39613724,60.11230469,17.85004616
444.078949,14.24539661,2074.870117,34.63002777,49.23994446
703.7894897,15.99278069,520.3434448,14.13498592,11.53094578
