x,y,prcp,tmean,DEM,SDV_100cm,Silt_100cm,Clay_100cm
1444446,1462960,1198.789429,16.39668465,57.36767578,0.013201321,28.53707504,24.29856873
-1026554,1925960,515.4736938,6.067783833,2294.353271,0.75252527,38.45968628,13.72672176
740446,1499960,1378.657837,14.55007935,193.0805511,0.048484851,50.92497635,29.13875198
-1343554,2919960,1061.342163,5.139679909,930.888916,0.319467425,45.34012985,13.3292923
88446,1657960,1121.184204,13.32310009,311.3066711,1,50.49053955,42.43930435
-131554,794960,926.2368164,20.18053055,141.0278015,0.991735518,21.48714447,27.76611519
1653446,1807960,1191.578979,14.47416401,44.08914948,0.041230489,22.26584053,18.47465515
1416446,1225960,1258.447388,18.36092186,26.22285271,0.028444005,13.79296398,15.6154604
311446,932960,1505.342163,19.19989014,25.96367073,0.194771245,37.63547897,52.67096329
-1589554,2128960,482.5526428,7.106253624,2138.765625,0.310009181,46.88962555,17.79843903
-288554,1335960,729.0789185,16.10690689,478.3520508,0.483195603,49.20082474,29.98861313
296446,946960,1483.526367,19.07421875,29.00871468,0.200000003,37.36032867,56.6681366
-2233554,2030960,812.9473877,14.92175102,218.4617462,1,51.79999924,29.60000038
-1431554,1495960,496.2631531,8.590676308,2135.140381,1,30,44
-2275554,2073960,1121.394775,14.63701916,759.2332153,0.457009345,35.69215012,25.32355118
1270446,818960,1474.184204,20.64838219,16.07774353,0.100000001,6.323232174,14.72819042
-2213554,1723960,531.9736938,14.33084297,335.7986145,0.815427005,37.00486755,24.84462738
180446,998960,1364.026367,18.6496048,66.32414246,0.453443527,31.90284729,24.01524353
251446,1724960,1148.210571,12.60849857,292.8215637,0.234710738,54.13388443,32.21790695
152446,1250960,1501.184204,15.34763241,300.6585999,0.233333334,34.17419434,21.70844841
908446,917960,1639.657837,19.08624649,64.78455353,0.325440317,14.62837601,16.22221184
-887554,2563960,383.3421021,8.21837616,985.2570801,2.852708817,33.86051559,47.77254486
-187554,1742960,739.8947144,12.7756834,463.3317261,0.130931795,33.09827042,20.71450424
-1981554,1972960,359.6052551,5.99930191,2154.149414,0.103030302,32.55390167,35.56859589
-134554,946960,908.3947144,19.05529594,209.4579315,0.738751173,38.83921051,35.03204727
595446,1034960,1527.894775,17.79769325,116.4740982,0.547826111,36.14995575,25.93515396
1213446,1028960,1229.710571,18.95532227,79.10235596,0.929611623,9.519611359,19.24097061
-281554,2890960,550.1842041,2.823841572,651.6067505,1.007208824,37.01931763,34.5128479
253446,941960,1446.394775,18.70199013,83.03543091,0.204040408,33.13737488,31.95399475
-79554,869960,940.7368164,19.84207726,105.3678131,0.774104655,13.88980675,27.2794323
-277554,544960,561.0263062,22.42245483,140.3264465,7.879430771,22.43976021,29.54527092
1530446,1524960,1223.736816,15.81848335,105.9495163,0.203622505,11.05452824,38.64318466
-497554,1115960,517.6578979,17.25626183,720.7998657,2.29678607,31.67465591,38.11790466
-57554,1309960,1066.394775,16.44768524,288.086853,0.005925926,23.7307415,28.70148087
146446,1138960,1333.973633,17.90338135,72.27237701,0.295636028,43.58579254,33.21411514
1196446,1085960,1205,18.56398773,97.51600647,0.875324667,10.96762562,18.29350662
-97554,1368960,1011.684204,16.06914902,332.1666565,0.043495934,19.03434944,24.14969444
-252554,793960,860.1578979,18.72915077,466.3779907,0.609274566,44.62690735,36.9457283
301446,904960,1555.710571,19.15319824,60.9286232,0.455831051,42.71010208,32.53278351
-98554,2058960,768.3684082,9.694566727,465.5568542,0.387970597,46.15950394,31.51928329
1729446,1523960,1428.447388,17.16106415,2.565409184,0.938475668,46.95849228,38.90018463
-92554,959960,984.5,19.08044815,165.3024292,0.86567992,28.39407921,50.85383987
-729554,2725960,342.3684082,6.642963409,882.6314697,2.349954128,46.55922699,24.90404129
-242554,1069960,829.6052856,17.48827553,421.214325,0.790909052,35.19054031,35.71358871
-1203554,2737960,428.921051,5.952993393,1314.424683,0.390449971,42.19439697,12.17162609
727446,1186960,1516.289429,16.75813484,109.6094513,1.342148781,33.08310318,28.97052383
-105554,674960,1013.315796,21.04243851,74.5719986,1,13.58793068,13.79521084
779446,1247960,1561.868408,16.10469437,178.6655731,0.060330581,21.10449982,18.81184578
-182554,1020960,875.9736938,18.25679779,268.0649719,0.646068454,32.38057327,30.83256149
130446,1835960,1038.921021,11.69300365,285.7798462,0.999449015,51.05004501,36.63241577
-237554,1339960,804.6052856,16.18518257,423.7424011,0.150964186,21.39164352,17.64389229
-86554,1073960,970.2368164,19.11319542,170.6400452,0.640312195,32.23498535,40.30036926
-312554,847960,691.6578979,18.72357941,428.1921082,0.986685038,29.37594223,18.5520668
879446,1016960,1502.526367,18.02808762,126.2974625,0.565355778,18.69550514,20.9947567
-1316554,1771960,322.6315918,8.596075058,2217.003662,1.200000048,23.60000038,17
-1111554,1700960,406.578949,8.42135334,2128.759033,0.15941231,42.52598953,25.45693207
261446,1169960,1395.526367,17.04541969,93.52690887,0.412304878,25.18558311,27.94903564
501446,883960,1727,19.00157166,85.52913666,0.93360883,45.15573883,19.86749268
-1456554,1621960,434,10.13559246,1969.11792,1,25.5,39.79999924
592446,817960,1662.710571,20.12512779,0.525250852,4.106831074,37.20683289,54.7563591
110446,816960,1389.263184,20.00775719,18.22823334,0.156293362,26.20257568,19.77383614
-474554,870960,506.3684082,17.96175766,725.2177734,0.974104702,45.25206757,46.87474823
-169554,1599960,840.7894897,14.0627718,416.4865112,0.264830112,13.52938461,11.63948536
768446,1194960,1489.157837,16.82514763,113.6821747,0.141414136,31.94471931,31.87722778
1114446,982960,1313.5,19.20703888,55.64934158,0.803489447,15.33535385,25.38319588
-747554,2526960,430.1842041,7.005013466,1025.784546,1.483379245,40.09834671,33.5713501
-1309554,1937960,466.2631531,7.048356056,1989.371826,1.025711656,26.36225891,22.41506004
27446,1162960,1185,17.54315376,156.7776489,0.987144172,26.84912682,53.20183563
295446,1514960,1172.210571,13.81861687,272.8952942,0.200000003,41.94453812,41.95573807
1355446,994960,1275.710571,20.00063705,6.613182068,0.006152433,21.00376511,30.6343441
-1115554,1152960,480.3421021,11.8124752,1978.88208,1,30.79072571,36.22011185
-62554,1511960,999.2894897,15.05407333,278.4012756,0.153535351,51.63507843,34.51680374
325446,1550960,1193.736816,13.29918098,337.1199951,0.200000003,47.52754974,36.19761276
-1616554,1776960,356.7105408,11.71578121,1690.629761,1.04729104,24.61000824,22.39944839
-372554,1288960,582.4473877,16.89135742,517.9943237,0.564738333,53.20633698,32.18870544
1548446,1320960,1370.684204,17.68986702,5.764260769,0.047353759,17.38606262,22.81197739
14446,1281960,1233.342163,16.32502365,271.9966125,0.084848486,26.78044128,33.97190094
712446,1312960,1486.315796,15.82341385,163.0674591,0.138950288,31.55294609,18.75534058
-80554,1165960,1041.105225,17.69252968,212.8560638,1.78567493,30.60807991,38.36868668
-1260554,2824960,489.0263062,5.358623981,1600.459106,0.108080812,35.13673019,30.14012909
